aircraft,type_of_traveller,seat_type,route,seat_comfort,staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,title,reviews,rating,date_dt
a320,family leisure,economy class,larnaca to london,1,2,1,1,2,,2,no,no attempt to provide fresh or hot foo,"just a few years ago flying on ba was enjoyable, but times have changed. these days about five hours on board the plane is no fun at all. the terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. on board though, it’s just become an experience to be endured. ba’s mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. there is no entertainment, no magazine. refreshment purchases are brought to the seat after ordering from an app. there is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. is it too much to ask for, when trapped on board for five hours? you get a free tiny bottle of water and a small cereal bar. on the outbound flight the crew collected rubbish just once before landing, but helpfully tied a bag around a toilet door down the back in case anyone wanted to fight their way past and clear things up themselves. recline buttons have been deleted on the seats and the seat pitch feels squeezed. on the return flight, for one reason or another due to ba’s delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldn’t travel at all because there were not enough crew. the cabin crew were nonetheless distinctly more professional on this flight. altogether, i would say good things if there were any - but it’s hard to think of anything i could recommend ba for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making european journeys.",3,2022-10-01
boeing 787-10,couple leisure,business class,atlanta to london,5,4,4,5,5,5,4,yes,a very positive experience,"a very positive experience with ba. seats were new style club seats and very comfortable for sleep. food was fine but not outstanding. wi-fi good, and video screen large and bright. baggage came out very quickly at heathrow, had the same experience on the return flight to atlanta. all in all, would fly ba again, but would probably want to make sure it is new seats.",9,2022-10-01
a380,solo leisure,business class,madrid to san francisco via london,3,1,1,4,3,,1,no,baggage took 3/4 hour to be delivered,"baby across the aisle cried nonstop and crew yakked in the galley so on this long flight there was no possibility for any sleep or even rest. mentioning to a crew member that their colleagues were talking loudly made no difference at all. my second meal was something inedible, no way to get a simple bag of crisps or nuts, instead an assortment of dried something. baggage took 3/4 hour to be delivered and had no priority for club or even first passengers; we were all kept waiting after many economy bags had been delivered. a380 is a great aircraft but the ba seating is still the very tired old yin/yang configuration with some people stuck in the middle of 3 seats (probably not what anyone is expecting in business class these days)",2,2022-09-01
a380,solo leisure,economy class,london to washington,3,5,5,3,2,,5,yes,cabin crew were very pleasant and helpful,"evening flight from lhr to iad on an a380. check in at t5 is poor, most of their kiosks don't work well and staff have to be called. boarding was very poorly managed. the ground staff were overwhelmed because it was a full flight and were struggling to manage passengers. the gate was small and there was insufficient seating for such a big aircraft. the flight was full and it left 50 minutes late but the pilot kept us informed on this issue. once airborne, service started quite quickly and the cabin crew were very pleasant and helpful. they did their job very professionally and efficiently. they answered the call bells promptly and nothing was too much trouble. they started out with a bar service and were generous with drinks and then came the meal service and the food was very good. the ife was old and clunky but had sufficient movies and tv programmes for a 7.5 hour flight. the seat was comfortable but legroom was tight. all in, it was an uneventful journey and i would give it the thumbs up but ground services needs attention.",8,2022-10-01
a380,couple leisure,economy class,london to san francisco,1,1,3,3,1,5,1,no,very rude and unhelpful staff,"we boarded our flight at edinburgh to london for our connecting flight to san francisco on 4th october, there were a lot of americas heading back to america from scotland because of the open golf at st andrews. the woman at the counter was rude, i was actually embarrassed to be british at the time. shouting, snapping at people and just had a real horrible way about her. on the flight from london to san francisco, prior to the 24 hour check in, i spent £150+ to reserve two seats for our once in a life time holiday to america. once we boarded, it was evident that the seat i was sitting in was broken. the recliner button was not working and had been pushed into the frame of the arm rest. i asked the flight attendant at the time of there was anything that could be done, but not only was she also rude, but seemed uninterested in that fact that i was going to have to sit for 11 hours on a flight with a seat that wouldn't recline. i eventually got the flight to state that she would report the fault, only to find out that multiple other seats on the economy seating area were also broken. attitude with british airways staff has been absolutely horrendous. so, after getting off the flight, i decided to make a complaint to british airways. bearing in mind that i had paid £150+ for the privilege of picking a seat. i asked for a refund for the cost of the booking of the seat prior to the 24 hour check in, only to be told no, they don't do refunds. i paid for a product that was broken, met with nothing but rude staff, and they are telling me they can't refund the cost of booking the seat? 4 emails to the customer team and they are still refusing, they are also refusing to tell me whether or not that the fault was reported prior to me sitting in that seat. all they have now offered me is a £50 ba voucher, which i declined on the basis that if they picked my seats (for example i hadn't payed for the seats prior to the 24 hour check in) then a £50 voucher would be ok, but not when i have spent my own money to select a seat that was broken. after all my experiences with ba, i will not be using them again. very rude and unhelpful staff and i will chose another carrier in the future, im actually ashamed that ba treats people the way they do when they are a national airline for great britain.",1,2022-10-01
,solo leisure,economy class,london to delhi,2,2,1,3,4,,1,no,cabin crew were very helping,"while entering the aircraft it was very rushed no smooth boarding people were struggling with cabin luggage and finding their seats and heating was high that i was suffocating. i got faint due to that heat, but the cabin crew were very helping so all the thanks to those who helped me at that time. other then that when i called cabin crew to ask for some water they took half an hour to response.",3,2022-10-01
boeing 777-300,couple leisure,economy class,london to los angeles,3,4,3,4,4,,4,yes,all in all ba was just fine,"lhr-lax. i prefer the boeing 777 over the a380 as the seats don't seem too cramped. check-in was very easy with the kiosks as was bag drop and security at heathrow. t5 is a whole other story. once through security its up the escalator, up the stairs, up the elevator, down the escalator get to the gate, no seating, then down an escalator and finally down the jet bridge to the plane. i have been in and out of heathrow many times but never in t5 before. anyway cabin crew were pleasant; drinks and meal service were fine. it was a day flight so no real sleeping and passengers were all moving around most of the flight. the entertainment system was good with decent options, so i occupied my time with several movies. nice landing at lax. all in all ba was just fine.",7,2022-10-01
boeing 777,couple leisure,business class,miami to london heathrow,5,5,3,2,4,,3,yes,recommend ba's new club class,"flew back to uk from miami in new club world suite - a huge improvement on the elderly yin and yang style club world. boarding easy. took off 1/2 hour late due to delayed incoming aircraft but made up this time on way back and landed on time. very comfortable suite with plenty of storage for bits and pieces. bedding and large pillow supplied. attentive fa's - especially anna who addressed me by name). however, let down by very average catering (not very good short rib beef and underwhelming salmon for my wife). and, sadly, once again a very poor choice of films on the ife which let down the excellent 17inch touch screen. refused to pay ba's extortionate pre-pay to book your seat fees, and still got 2 seats together. c'mon ba - do we not pay enough already to travel club class ? i can recommend ba's new club class and we will travel this way - if we can afford it - in future.",8,2022-10-01
a380,solo leisure,business class,dubai to london,4,4,4,2,4,2,3,yes,would recommend,i flew with hand baggage but security at dubai was quick. entered lounge which was a bit small but good and drink offerings sound. flight on a380 left on time. few technical issues with ife which would have been really irritating had it been a day flight. decent snack and slept well. arrivals lounge excellent. would recommend.,9,2022-10-01
a320neo,couple leisure,economy class,london to cairo,1,1,1,,4,1,1,no,"hit the  call button, no response for an hour","london to cairo. first, on this 5 hour mid morning flight the only complimentary food and drink were a tiny bag of pretzels and a small bottle of water. even southwest is more generous. when unable to connect my phone to order food, i hit the fa call button with no response for more than an hour. when the fa came to collect garbage i had to show him the call light and he gruffly asked me what was the matter. he used his phone to place the order.",1,2022-10-01
boeing 777,solo leisure,business class,orlando to london gatwick,5,5,5,5,5,4,4,yes,"she was attentive, warm, friendly","this review is specifically about maddie, crew member who took care of us. she was attentive, warm, friendly and nothing was too much trouble. smiling from start to finish. she should be the brand ambassador for ba.",10,2022-10-01
a321neo,business,economy class,london to cairo,2,4,1,,3,2,1,no,cramped single aisle aircraft,"5 hours in a cramped single aisle aircraft, no inflight entertainment. in economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase.",3,2022-10-01
a380,couple leisure,economy class,dallas to london,2,4,2,4,4,,3,yes,it was an ok experience,"dfw-lhr. had an easy transfer at dfw from american airlines to british airways heading to london. first ride on an a380 left me with the feeling that this plane type won't ever be my first choice. was seated upstairs where the cabin space seemed very roomy, but the seats and rows were very cramped. when the passenger in front reclined the back of the seat was 7 inches from my face and i had a real difficult time trying to view the seat back entertainment screen. the seat itself wasn't too bad but i felt squished and locked in. on a plus side, having a window seat gave me this nice storage area by my side. ground staff were pleasant and cabin crew were really nice. plenty of beverages offered and multiple water runs were made during the night. dinner was rubbish as was the morning pre-landing snack. the entertainment system was very responsive and had a pretty good selection of movies, tv, music and games. all in all it was an ok experience and did get me to london on time and our baggage arrived safely, but i'm not sold on the a380. t5 at lhr is another story that will be in a different review. what a mess that place is.",6,2022-09-01
a319,couple leisure,business class,jersey to london heathrow,4,4,4,,3,,4,yes,wait for cases at heathrow t5,check in at jersey straightforward. there is a small business class lounge at jersey with reasonable drinks range and some limited food. flight boarded on time but take off was delayed due to poor visibility at lhr. captain kept us well informed and we eventually took off 50 mins behind schedule with a 20 minute late arrival at heathrow. good service from the cabin crew and a bacon roll and coffee served. disappointing that the wait for cases at heathrow t5 was as long as the flight!,7,2022-09-01
a320,couple leisure,business class,london heathrow to jersey,4,5,4,,3,,4,yes,cabin crew are usually exceptional,"check in at lhr t5 was very quick and queue for security short. we used the south lounge which was supposed to be the quieter at the time, but was very busy and difficult for our group of 3 to get seated together. flight boarded on time. whilst this is only a short flight (35 mins) the service of the cabin crew was outstanding. glass of champagne, coronation chicken salad and a coffee all served with a smile and a little banter. in spite of some of the issues with ba, their cabin crew are usually exceptional and this was no exception. flight landed on time and bags delivered quite promptly.",8,2022-09-01
a320-200,solo leisure,business class,istanbul to london heathrow,1,3,2,1,3,,2,no,i still found it underwhelming,"the check-in process was smooth. i got access to the iga lounge which was nice, but not as nice has the turkish airlines lounge. on board was what all this flight was about. this was my first time flying intra-european business class, and though i was well prepared, i still found it underwhelming. first, the seat is just a normal economy seat, with the middle seat blocked off. there is no personal ife, so basically no entertainment for a 3-hour flight. meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal i got on my turkish airlines flight a few days ago. i could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. also, the 32 passengers shared one single wc, meaning a long line for the bath room, something i have rarely seen in business class. arrived at lhr, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. it finally came, of course, and the delay was more on the airport than the airline, but since ba is the main operator at heathrow t5, such things will affect their reputation.",3,2022-09-01
boeing 777-200,solo leisure,business class,london heathrow to new york jfk,5,4,4,4,5,,5,yes,at least the food tasted good,"this is my first time flying ba's new club suite, which, in my opinion, is very good. flight to the us, including mine, departed from concourse c of terminal 5 which did not have many shopping or dining options. however, it was quiet so finding seating was quite easy. the highlight is the club suite, which is spacious and provides a great deal of privacy. meal service was slow, and everything was served on one tray, all at once. i think now is the time for them to begin to get back to pre-pandemic standard. at least the food tasted good, which was not something i previously experienced on ba flights, even in first class.",9,2022-09-01
,business,economy class,gothenburg to jersey via london,2,2,,,1,,1,no,i will never travel ba again,"my 7am flight for a conference in june was cancelled with less than 12h notice - without being given any alternative flight or rebook me upon alternative flight. upon calling customer service, customer service who said she can only get me a flight 2 days later. they did not work with me as i miss 2 days of conference. they asked me to travel to a different airport in sweden (stockholm); which i reluctantly agreed to as i was not given any other choice - but i had to pay for that domestic flight myself. upon reaching the gothenburg airport on the day of departure, i saw a direct flight to heathrow, called customer service and was told there is 1 seat available. so i changed to 8.15am from gothenburg - heathrow - jersey. however, at this point ba told me i have to pay a fee of gbp 710 as i “changed my flight a 2nd time”.  i find it a disgrace that ba charge a fee to change a flight that they cancelled, and they were unable to give alternative options to reach my destination in for the conference. ba proposed that i travel to another airport in sweden at my own expense. i have since contacted ba for the legal compensation i’m entitled to according to uk law, but i got a rejection as they claim i arranged my own travel to my destination. if i have a choice, i will never travel ba again. such awful customer service and complete lack of understanding of customer needs.",1,2022-06-01
,solo leisure,premium economy,heathrow to mexico city,5,5,5,5,5,5,5,yes,"couldn’t fault anything"" ","i would like to thank all the air and cabin crew for having the best experience with a very long journey! i don’t know how you manage to keep smiling. couldn’t fault anything. helpful, reassuring, excellent food and i can’t wait to fly again. thank you and i really appreciated you.",10,2022-09-01
,solo leisure,economy class,london to tampa,5,5,5,5,5,5,5,yes,personnel was just magnificent,"british airways personnel was just magnificent. my flight into london was delayed, security had long lines, i ran like a madman to find the gate closed but the plane was still there… the lady at the gate worked the computer at 200 miles an hour to allow me to board (the software program was already closed). this while the flight manager, who came towards the gate, urging her to make a decision since the plane was about to loose its take off spot in line. i was sweating from the run, still out of breath while she handed me my passport giving me the green light to board. i bolted again into the plane feeling bad that i did not personally thank her for her magic. i really hope she gets recognized by british airways for her performance. thank you for all you do !",10,2022-09-01
,solo leisure,economy class,sydney to london via singapore,1,3,2,5,4,5,2,yes,should be more snacks on board,good flight apart from my seat fabric was coming apart on39j and lack of good leg room. meal was good from singapore. should be more snacks on board. my neighbours passenger charger and headphone socket didn’t work.,4,2022-09-01
a320,couple leisure,economy class,london to lisbon,4,5,1,,3,,3,yes,crew were friendly,flight was 1 hour late leaving gate. crew were friendly. seats comfortable. but the complimentary snack provided was a bag of ready salted crisps.,5,2022-09-01
,business,business class,london to istanbul,1,1,1,,1,,1,no,very short leg space,"london to istanbul. british airways business class rows comprise of three seats with the middle seat empty. front rows about 5-7 are considered as business class, with very short leg space.  no pillows, no blanket, horrible inflight service, staff were harassing me. no curtesy for business class check-in while waiting for flights.",1,2022-09-01
,couple leisure,economy class,london to manchester,4,1,2,1,1,1,1,no,staff were no help and frankly rude,london to manchester. british airways is probably the worst air company i have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. the staff were no help and frankly rude.,2,2022-09-01
boeing 777,family leisure,economy class,london to rome,4,4,3,,1,,2,no,flight was cancelled at the last minute,flight was cancelled at the last minute due to “weather” despite pretty much all other flights not being affected. booked onto a flight the next day. arrived at the airport 2.5 hours ahead t5. horrendous check-in and security delays meant we almost missed the new flight. the flight was fine once we got on it but the damage was done.,2,2022-08-01
,couple leisure,business class,london gatwick to malaga,3,5,5,1,4,1,3,yes,i have to write a positive review,"after having a few not so good experiences in the past, i feel i have to write a positive review as well where it is deserved. first of all, the improvement in the ba lounge in gatwick is massive. the buffet was a joy. we flew on a ba flight but operated by iberia express. wonderful staff and the food was exceptional. whoever brought in this change of food supplier ... congratulations! also may i add that this time business class was not 11 rows like last time, but 5 rows which was definitely a big improvement and could be felt in a much more attentive service. i am still not clear on luggage being labelled ""priority"". the luggage certainly does not come out first in the destination airports.",7,2022-09-01
,business,economy class,heathrow to tenerife,,,,,,,1,no,review is for ba booking system,"this review is for ba booking system not a flight . today i clicked wrong date on line, my mistake and expect to pay a fee. i then go to “cancel booking” and click on the option to not receive a voucher, immediately i received a response saying my voucher is on its way. i call them and speak to a gentleman who continuously spoke over me and would not listen to my concerns and eventually i give up and want to book a new flight, obviously at a much higher price but using the voucher i didn’t want. however to my surprise i am unable to use this voucher because they can’t tell me what it is until i receive it at a point in the future that they can’t say when. so they now have my money and i have to re-book at full cost. in the end in order to get me off the phone they hung up.",1,2021-11-01
,couple leisure,economy class,manchester to seattle via london,3,2,1,2,4,,3,no,i will not be flying ba again,manchester to seattle via london. i will never fly ba again. they cancelled my return flight from heathrow back to manchester and then cancelled the alternative offered. we had to get our son come all the way to london to pick us up and take us to our car in manchester. the food was terrible and on the return journey as soon as they had finished serving they were round taking our trays so that they could settle down for the night. i will not be flying ba again,4,2022-08-01
,couple leisure,premium economy,san francisco to london,2,1,2,3,1,,1,no,not been recompensed for our expenses,"our flight in march 2022 from san francisco to london on 28th march was cancelled with 3 hours’ notice. we found out on the shuttle bus to the airport. we had to stay overnight for the next day flight. we still have not been recompensed for our expenses (filled in on line) and have received no replies on follow-ups. it is the usual 30 min or longer time to wait on customer service picking up. during this trip, we had to re-schedule a return flight (my wife was ill). this should not have been a problem as the flights were re-bookable. we were given a voucher. this voucher was only bookable by phone. when i phoned to rebook, we got the automated voice saying ba were not taking flight bookings by phone. you can see the problem - how do a use a voucher where i must phone and they are not taking phone bookings ? all i have been offered is another voucher. the time to use has passed. it must be great to be a business that can print endless a4 vouchers and not return money paid for services not rendered. we returned home with aer lingus with no drama.",1,2022-04-01
,couple leisure,economy class,berlin to london city,3,5,4,,2,,4,yes,she went above and beyond,"i sat in seat 25c. our cabin crew lady was called gina and she went above and beyond to keep the customers happy. she greeted us as we boarded with a very cheery smile, she engaged with two families travelling with young children and gave out games and books. her trolley service was excellent and she took great care in what she was doing. she had time for a quick chat and i think she said she was half german and half bulgarian, a really lovely young lady who is a credit to british airways.",10,2022-08-01
boeing 787,couple leisure,economy class,tel aviv to london,5,5,5,5,3,,4,yes,hard working crew,"full afternoon flight. ready to fly on time. arrived early. uneventful flight. good service. pre dinner drinks. drink with meal. coffee, drinks available at back. avml meal was tasty. hard working crew on a full flight. audio worked well.",9,2022-08-01
,solo leisure,business class,london to manila via singapore,1,1,1,1,1,,1,no,philippines airlines require a 24 hr negative covid test,"i was told i'd require a 48 hr negative covid test for entry into philippines. booked my trip via ba.com, with a transfer in singapore. they delay my transfer to the next day, okay, not too bothered as have my 48 hr negative covid test, but when i try to check in at changi airport, the philippines airlines check in staff require a 24 hr negative covid test. had to rush to a different terminal, get tested, wait for the result, rush back to check in ...the gate had closed.  had to book an extra night in singapore hotel, book my own flight to manila, then also the return journey back to london. if one misses one leg of a ba booked flight, the remaining flights get cancelled.  i discovered oman air business class and better then british airways, from treating their customers, quality of service, the business class experience.",1,2022-06-01
,solo leisure,economy class,london to barcelona,1,2,1,,1,,1,no,not worth the risk of travelling with ba,"having been promised help to find a hotel room after an outgoing flight from heathrow was running very late and my hotel would be closed, i boarded the plane on this basis. i was subsequently dumped at barcelona airport at 0038 to sleep the night on the floor. there was no help at there to find a hotel. i have ms and can't walk without help, ba did nothing, their partners iberia did nothing. at about 3 am some kind people helped me to an more secure area and toilet and got me some sandwiches. i lost my holiday, my hotel booking, and my music course. ba insist it's not their fault it's the hotels for closing. i would not have got on the plane had i known. i found out i could go to arbitration. ba now say they will withdraw the 'offer' of expenses if i do. their policy of refusing all compensation for what would have been a dreadful experience for any passenger, is bad enough. for someone who is not mobile, it seems to have ditched the specific responsibilities of duty of care and towards disabled passengers. so for people with disabilities it's just not worth the risk of travelling with ba.",1,2022-06-01
,business,business class,los angeles to thessaloniki via london,2,2,1,,1,,1,no,cancelled my return flight,"i am a business class customer. british airways cancelled my return flight and chose an alternative flight with 3 stops. after i complained, they changed the date. when i told them the date would not work, they attempted to charge me additional $5,000 for the change. i submitted a complaint and have not heard anything.  if you try to reach out, no chance.",1,2022-06-01
